created_at,Text,Tweet_ID
2019-06-01 19:36:17,"صلاح ينضم للنجوم الأفارقة المسجلين للأهداف في نهائي دوري أبطال أوروبا
https://t.co/7jTMIBgRtN
#ليفربول_توتنهام… https://t.co/nCzjtxC6no",1134906530447405061
2019-06-01 19:36:17,"#ليفربول_توتنهام 
هذا الشيطان يسوي بروفة لبعد رمضان https://t.co/KORE4X0FYI",1134906531244322817
2019-06-01 19:36:17,"#ليفربول_توتنهام
أفضل لقطة في المباراة 😁 https://t.co/SF0HAoVqyH",1134906530795573248
2019-06-01 19:36:17,"MoSalah❤️❤️

 #ليفربول_توتنهام",1134906534016757763
2019-06-01 19:36:17,يا ساتر تو اشوف زين,1134906534180380672
2019-06-01 19:36:18,@NaboliALTamimi @AlsebaeiMazin @DrBahajM https://t.co/SrFbUwhBXn,1134906536348868608
2019-06-01 19:36:18,"المشجعة ماتستحي ياخي وش ذا 
 #ليفربول_توتنهام https://t.co/5goZ6BkuX4",1134906534830510080
2019-06-01 19:36:18,"#ليفربول_توتنهام
لحظه دخول المشجعه ارض الملعب https://t.co/2aBIM5v4nr",1134906536789233664
2019-06-01 19:36:19,دخول الجسم الغريب خرّب المباراه 🤣.  #ليفربول_توتنهام,1134906539733594115
2019-06-01 19:36:19,"#ليفربول_توتنهام 
حسبي الله وحده مفصخه تدخل الملعب https://t.co/EcBZejPeRZ",1134906539561689088
2019-06-01 19:36:19,"فان دايك يا سيد المدافعين

#ليفربول_توتنهام",1134906541621096448
2019-06-01 19:36:19,"#ليفربول_توتنهام
أجمل لقطة في المباراة و أجمل من هدف صلاح ✌🏻 https://t.co/4maiD8L2Xg",1134906541906309120
2019-06-01 19:36:20,"نهائي بارد وممل ولا يليق بمستوى دوري أبطال أوروبا !

 #ليفربول_توتنهام",1134906544846442496
2019-06-01 19:36:20,"#ليفربول_توتنهام
نهائي ممل",1134906544968085509
2019-06-01 19:36:20,"حرام هالفريقين يلعبون نهائي 
مباراة غبية 
#ليفربول_توتنهام",1134906546209660928
2019-06-01 19:36:20,"#UCLfinal
#ليفربول_توتنهام 
#نهائي_أبطال_اوروبا 

محمد صلاح صايم وخربت صيامه https://t.co/VljmUtRqGd",1134906545421148161
2019-06-01 19:36:20,#نجران_الان  #الكهرباء  #الوظايف_التعليميه  #اعتراف_تركي_بسرقة_الحجر_الاسود  #ليفربول_توتنهام… https://t.co/IfJXsxGttr,1134906546847174657
2019-06-01 19:36:22,"ساديو ماني قلب ليفربول 
محمد صلاح لايتعاون من ماني ربما ندفع ثمنه بالنهاية #ليفربول_توتنهام",1134906552001994753
2019-06-01 19:36:22,#ليفربول_توتنهام https://t.co/y98JMW7cRx,1134906553130213376
2019-06-01 19:36:23,"البنت اللي طبت تو خويت اليوتيوبر فيتالي وااااااااااو الصراحه
#ليفربول_توتنهام https://t.co/FIrH1w3hGv",1134906555705569281
2019-06-01 19:36:23,تكبييييير  #ليفربول_توتنهام https://t.co/gHspalOuHW,1134906556594753537
2019-06-01 19:36:23,"#ليفربول_توتنهام

بث مباشر 

https://t.co/8jvLHgyuVl",1134906558238904320
2019-06-01 19:36:23,ايش حيفكنا من المصارية 😓 #ليفربول_توتنهام,1134906558750629890
2019-06-01 19:36:23,#ليفربول_توتنهام 😂توبووووووو https://t.co/m8goFcfFXz,1134906557370699777
2019-06-01 19:36:24,"وصول الاندية الانجليزية لنهائي قتل متعة المباراة 
 #ليفربول_توتنهام",1134906561787244550
2019-06-01 19:36:24,"#محمد_صلاح هو أول لاعب مصري وثاني لاعب عربي وخامس لاعب إفريقي يسجل في نهائي #دوري_أبطال_أوروبا 🥇

#ليفربول_توتنهام https://t.co/314IsKL6o7",1134906563393675264
2019-06-01 19:36:24,"#ليفربول_توتنهام
نفس الحدث !!
بس انتم تحبون الاجانب 😂😂 https://t.co/3iW1kAiYUU",1134906560428281861
2019-06-01 19:36:25,توتنهام ماسك كوره راح يسجل التعادل اتوقع لابد من كلوب يتحرك ويغير طريقة اللعب #ليفربول_توتنهام,1134906566858158081
2019-06-01 19:36:25,#ليفربول_توتنهام https://t.co/Ci12ljFPV6,1134906565960589312
2019-06-01 19:36:27,غاب الكبار وحضر الصغار ! 👎 #ليفربول_توتنهام,1134906573023842309
2019-06-01 19:36:27,مدري وش اقول بس احتاج عيديه ي اصدقاء فعليا كنت متأمله اطلع بشي من حسابي هذا بس حاليا واقف #ليفربول_توتنهام https://t.co/K5vsnVJD6W,1134906573267046400
2019-06-01 19:36:28,ليتك تطلع علي وتنزل مورا #ليفربول_توتنهام,1134906577599782912
2019-06-01 19:36:28,اللقب الكبير يستحق محمد صلاح ومحمد صلاح يستحقه ، كل التوفيق للنجم الخارق ، لم أتابع الدوري الإنكليزي لكن كنت أتمناه… https://t.co/KgRLKwd8fK,1134906579487219712
2019-06-01 19:36:28,الماتش بقي سخيف بسبب ضربة الجزاء كان نفسي يكون احسن من كدا #ليفربول_توتنهام,1134906579843768320
2019-06-01 19:36:29,وع وع خلاص #ليفربول_توتنهام,1134906580640686080
2019-06-01 19:36:28,"#ليفربول_توتنهام

نفس هذا بس انتم تحبون الكفار https://t.co/dsprLm77I3",1134906578388357120
2019-06-01 19:36:28,"الله على اخلاقك يافخر العرب 
 #ليفربول_توتنهام https://t.co/aTCj1JjbgU",1134906580456157184
2019-06-01 19:36:29,"اللي يبغى صورت المشجعة يجي خاص 😍🔥
#ليفربول_توتنهام 
#ليفربول
#توتنهام",1134906584168050688
2019-06-01 19:36:30,"فخر العرب❤❤.
#ليفربول_توتنهام https://t.co/g8RTFwHYrd",1134906587754192896
